trade_date,strategy,regime,active_hedging_day,regime_evaluation_day,hedge_eligible_day,hedge_executed_day,no_hedge_reason,spot,risk_free_rate,base_cycle_index,is_base_entry_day,is_base_expiry_day,liquidation_applied,base_contract_id,base_expiry,base_strike,base_dte,base_option_price_per_share,base_delta_per_share,base_gamma_per_share,base_vega_per_share,base_theta_per_share,base_contracts_held,base_trade_contracts,selected_hedge_id,targeted_greek,pre_delta,pre_gamma,pre_vega,pre_theta,hedge_contracts_theory,hedge_contracts_actual,stock_position_theory,stock_position_actual,stock_trade_shares,stock_position_after_trade,post_delta,post_gamma,post_vega,post_theta,base_trade_cashflow,option_liquidation_cashflow,stock_liquidation_cashflow,option_trade_cashflow,stock_trade_cashflow,total_trade_cashflow,cumulative_cash_outflow_before_interest,interest_cost,cumulative_cash_outflow_after_interest,gross_option_turnover_contracts,gross_hedge_option_turnover_contracts,pre_greek_abs_sum,gross_live_option_exposure,gross_stock_turnover_shares,hedge_trade_count,residual_objective
2026-04-09,delta,medium,True,True,True,True,executed,260.489990234375,0.03588000059127808,4,False,False,False,2026-04-26|250.0|call,2026-04-26,250.0,17,11.737810578185446,0.8473458800966395,0.021365353837908104,13.246863512216349,-34.29404528443798,-1000.0,0.0,,delta,-5934.588009663945,-2136.5353837908106,-1324686.3512216348,3429404.528443798,,0.0,84734.58800966394,84700.0,5900.0,84700.0,-34.58800966394483,-2136.5353837908106,-1324686.3512216348,3429404.528443798,0.0,0.0,0.0,0.0,1536890.9423828125,1536890.9423828125,21204338.006019123,3019.0938896572475,21207357.09990878,0.0,0.0,1332757.4746150896,1000.0,5900.0,0,34.58800966394483
2026-04-10,delta,medium,True,True,True,True,executed,260.4800109863281,0.035929999351501464,4,False,False,False,2026-04-26|250.0|call,2026-04-26,250.0,16,11.601954170865213,0.8569480492893202,0.021382323540077224,12.303621239574525,-33.63777827172482,-1000.0,0.0,,delta,-994.8049289320188,-2138.2323540077223,-1230362.1239574526,3363777.827172482,,0.0,85694.80492893202,85700.0,1000.0,85700.0,5.195071067981189,-2138.2323540077223,-1230362.1239574526,3363777.827172482,0.0,0.0,0.0,0.0,260480.01098632812,260480.01098632812,21467837.11089511,3060.8705296531757,21470897.98142476,0.0,0.0,1233495.1612403924,1000.0,1000.0,0,5.195071067981189
2025-12-15,delta_gamma,medium,True,True,True,True,executed,274.1099853515625,0.03538000106811524,1,True,False,False,2026-01-27|275.0|call,2026-01-27,275.0,43,6.267894862124081,0.5134170081578456,0.025528105813602993,37.48952942602671,-30.451670202357985,-1000.0,-1000.0,2026-01-15|270.0|call,gamma,-51341.70081578456,-2552.8105813602992,-3748952.9426026708,3045167.0202357983,915.0108215969367,915.0,-8273.113692726401,-8300.0,-8300.0,-8300.0,-26.886307273598504,-0.030191432183528377,-1047829.4434393635,-62111.208822905086,-626789.486212408,0.0,0.0,730517.461692115,-2275112.8784179688,-2171384.9029382616,-2171384.9029382616,-304.85555629065476,-2171689.758494552,915.0,915.0,3802847.4539998155,1000.0,8300.0,1,0.09187513124806966
2025-12-16,delta_gamma,medium,True,True,True,True,executed,274.6099853515625,0.03545000076293945,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,42,6.431972400340527,0.5256894999891334,0.02579760585188405,37.06224097107779,-30.830701543671005,-1000.0,0.0,2026-01-12|270.0|call,gamma,180.4149613364134,-32.001417320557266,-1090591.1802589647,-36343.75918325875,884.0289731805173,884.0,-6921.1034148868275,-6900.0,1400.0,-6900.0,21.103414886827522,-0.08454911704666301,-1325469.3981447103,-51859.2701009959,0.0,0.0,0.0,-51205.95278411906,384453.9794921875,333248.02670806844,-1838441.731786484,-258.62206664464514,-1838700.3538531286,1799.0,1799.0,1090803.5966376215,1915.0,1400.0,2,0.7153006734569177
2025-12-17,delta_gamma,medium,True,True,True,True,executed,271.8399963378906,0.035429999828338624,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,41,5.423532759565617,0.4571074835793519,0.024514778168944876,36.11896862163582,-32.12579683854862,-1000.0,0.0,2026-01-17|270.0|call,gamma,-940.9642605717672,242.6140826729411,-1112005.3215934848,-288082.7020473294,879.0009092817218,879.0,-5455.423480131925,-5500.0,1400.0,-5500.0,-44.57651986807468,-0.0025359290834785497,-894346.6313784514,-14889.313314724714,0.0,0.0,0.0,43584.063532244414,380575.9948730469,424160.0584052913,-1414540.2954478373,-198.87762867021803,-1414739.1730765076,1763.0,1763.0,1113188.8999367296,1884.0,1400.0,2,0.002630159755192093
2025-12-18,delta_gamma,medium,True,True,True,True,executed,272.19000244140625,0.03522000074386597,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,40,5.2186921430273685,0.4616355171480018,0.025938160832124652,35.76350229712492,-31.32314999276089,-1000.0,0.0,2026-01-13|270.0|call,gamma,672.4511189747791,-14.288180542950158,-920036.8384870035,-9837.379246565048,822.9992273926082,823.0,-3078.797061192068,-3100.0,2400.0,-3100.0,-21.202938807931787,0.002434998007629474,-1265124.1709455596,6636.157633529045,0.0,0.0,0.0,-71863.81244724966,653256.005859375,581392.1934121253,-833346.9796643823,-116.4701636653889,-833463.4498280477,1702.0,1702.0,920723.5777865212,1879.0,2400.0,2,0.0010424861438088507
2025-12-19,delta_gamma,low,True,True,True,True,executed,273.6700134277344,0.03522000074386597,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,39,5.128219613536089,0.4963107789728997,0.02975405347023134,35.667702390221734,-28.926111780350272,-1000.0,0.0,2026-01-29|275.0|call,gamma,1728.2553259270426,-164.50070315135326,-1412441.0130883893,111946.47316504642,1025.9949651003767,1026.0,-1484.1580995369586,-1500.0,1600.0,-1500.0,-15.841900463041384,0.014601306800614111,185404.55167834647,-14538.839527911041,0.0,0.0,0.0,-7069.607976101455,437872.021484375,430802.41350827354,-402661.0363197741,-56.27667459804876,-402717.31299437216,1849.0,1849.0,1414333.7691174678,1823.0,1600.0,2,0.0215707818388469
2025-12-22,delta_gamma,low,True,True,True,True,executed,270.9700012207031,0.03528000116348266,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,36,3.40163484920474,0.40406962161912174,0.032103209828137046,32.9512601682751,-26.871128877048974,-1000.0,0.0,2026-01-12|270.0|call,gamma,6.305678820062894,2.045229247015868,187669.34417738765,-16272.051331189461,746.0020912941046,746.0,-2063.5319350086284,-2100.0,-600.0,-2100.0,-36.46806499137165,-0.008999606601264531,-1390736.850231692,26196.91360336775,0.0,0.0,0.0,-36408.95099498634,-162582.00073242188,-198990.95172740822,-601708.2647217803,-84.23915983913312,-601792.5038816194,1772.0,1772.0,187677.69508545473,2026.0,600.0,2,0.00942921166196732
2025-12-23,delta_gamma,low,True,True,True,True,executed,272.3599853515625,0.03546999931335449,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,35,3.884181372450442,0.4470385861172241,0.033317487058035784,33.336070870028955,-28.022721544926483,-1000.0,0.0,2026-01-23|270.0|call,gamma,224.04243915911502,-173.42885510252472,-1539251.1705524637,136933.79778388748,973.0199961305569,973.0,-15258.457214738613,-15300.0,-13200.0,-15300.0,-41.5427852613866,-0.0684693864145629,-386175.1510373452,-110760.5842202045,0.0,0.0,0.0,213258.6591060416,-3595151.806640625,-3381893.147534583,-3983685.6514162025,-560.719552858543,-3984246.3709690613,1719.0,1719.0,1539648.6418467255,1746.0,13200.0,2,0.4705314906059468
2025-12-24,delta_gamma,low,True,True,True,True,executed,273.80999755859375,0.035550000667572024,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,34,4.302979969540473,0.49356600069726597,0.03532139866605873,33.31943279394312,-28.133413840504915,-1000.0,0.0,2026-01-22|270.0|call,gamma,703.2776324884908,-223.12242647163066,-573808.4784661932,20609.112750163302,1022.9964500906925,1023.0,-19544.520468459115,-19500.0,-4200.0,-19500.0,44.520468459115364,0.012256910751602845,-487055.6008493332,-159270.1989488406,0.0,0.0,0.0,25843.628639887553,-1150001.9897460938,-1124158.3611062062,-5108404.7320752675,-720.649966807555,-5109125.382042075,1996.0,1996.0,574734.8785251533,1973.0,4200.0,2,0.01700525822909483
2025-12-26,delta_gamma,low,True,True,True,True,executed,273.3999938964844,0.035429999828338624,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,32,3.987972780604977,0.47655607029217506,0.03606867292370724,32.226217605329076,-28.88149442716319,-1000.0,0.0,2026-02-04|275.0|call,gamma,495.5546028891258,82.34315059836217,-441268.3924114653,-215097.90037948918,1119.973678339962,1120.0,-6857.518105329596,-6900.0,12600.0,-6900.0,-42.48189467040356,0.08476871957645926,817004.6759216818,-66987.29898774065,0.0,0.0,0.0,-131801.02737817896,3444839.923095703,3313038.895717524,-1796086.4863245506,-252.52120596095295,-1796339.0075305116,2143.0,2143.0,441846.2901649528,2023.0,12600.0,2,0.7203782932380259
2025-12-29,delta_gamma,low,True,True,True,True,executed,273.760009765625,0.03538000106811524,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,29,4.09587621551421,0.48683520062861213,0.03633925525583077,30.756043506753272,-31.41490271014542,-1000.0,0.0,2026-02-05|275.0|call,gamma,-14.967522859013116,-39.83276249507162,816771.0096962466,-38649.43956259452,1147.9980394167846,1148.0,-8390.28975504294,-8400.0,-1500.0,-8400.0,-9.71024495705933,0.006206119825037604,967660.1882067122,-82600.11873147357,0.0,0.0,0.0,22412.99373328942,-410640.0146484375,-388227.0209151481,-2184566.0284456597,-306.7061445229195,-2184872.7345901825,2268.0,2268.0,816825.8099816007,2120.0,1500.0,2,0.003945881185398574
2025-12-30,delta_gamma,low,True,True,True,True,executed,273.0799865722656,0.03539999961853027,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,28,3.72832971558735,0.46089091717488984,0.03657010670800442,30.018662394939895,-31.768944245152518,-1000.0,0.0,2026-01-29|270.0|call,gamma,13.327693913808616,-7.1539346442173155,970253.3154366575,-77948.73160553956,1100.018330125434,1100.0,-24196.583295711178,-24200.0,-15800.0,-24200.0,-3.416704288814799,-0.0609384975437024,221047.1782961525,-200065.672639627,0.0,0.0,0.0,209581.26562474295,-4314663.787841797,-4105082.522217054,-6289955.256807236,-883.5889432204309,-6290838.845750457,2248.0,2248.0,970273.7970652155,2148.0,15800.0,2,0.37136172215657953
2025-12-31,delta_gamma,low,True,True,True,True,executed,271.8599853515625,0.03546999931335449,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,27,3.291825015894503,0.41819787107826645,0.03523876055656047,28.867255097719873,-32.5840869319661,-1000.0,0.0,2026-02-05|270.0|call,gamma,-567.0189760085923,189.27303701066467,378441.30392549746,-337745.6396847861,1163.963082867767,1164.0,-27065.02389768233,-27100.0,-2900.0,-27100.0,-34.97610231766885,0.11176591443017969,970002.3620566381,-220614.5139138284,0.0,0.0,0.0,108986.41968764353,-788393.9575195312,-679407.5378318877,-6970246.383582344,-981.0898192046722,-6971227.473401549,2264.0,2264.0,379197.5959385167,2100.0,2900.0,2,1.250385290574761
2026-01-02,delta_gamma,low,True,True,True,True,executed,271.010009765625,0.03532999992370606,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,25,2.6532145544921946,0.3780168604254826,0.03684158636817555,26.9559637431763,-31.633909751863783,-1000.0,0.0,2026-02-03|275.0|call,gamma,1120.5183170910313,117.87544435850941,1088560.5356816584,-310717.83570472244,1117.0616604111071,1117.0,-6775.535046736317,-6800.0,20300.0,-6800.0,-24.464953263683128,-0.20336096401888426,764085.2512802454,-67902.62568567088,0.0,0.0,0.0,-303395.80902824807,5501503.1982421875,5198107.389213939,-1773120.08418761,-248.5886207899601,-1773368.6728084001,2281.0,2281.0,1089798.929443108,2164.0,20300.0,2,4.136166702607188
2026-01-05,delta_gamma,low,True,True,True,True,executed,267.260009765625,0.03515000104904175,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,22,1.3587053221942043,0.23922420172937178,0.031571897134057496,20.358944785727154,-27.17590753568534,-1000.0,0.0,2026-01-29|265.0|call,gamma,29.88596703778603,137.5280656249979,772860.7603167275,-178059.73420870584,843.9868872164051,844.0,-27993.979058738245,-28000.0,-21200.0,-28000.0,-6.02094126175507,0.04905235627120419,173799.81874328875,-188078.9805902522,0.0,0.0,0.0,262416.88641938264,-5665912.20703125,-5403495.320611867,-7176863.9934202675,-1001.0586384823507,-7177865.05205875,1961.0,1961.0,773028.1743493902,2117.0,21200.0,2,0.240649617309392
2026-01-06,delta_gamma,low,True,True,True,True,executed,262.3599853515625,0.03519999980926514,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,21,0.4673595929723753,0.10563896247162079,0.019473333387037085,11.49242233172679,-15.704045927594821,-1000.0,0.0,2026-02-05|260.0|call,gamma,-3080.0148458354524,1448.2974431738628,1023480.2051424435,-1245355.0130938534,567.0355331589,567.0,-24302.445546091025,-24300.0,3700.0,-24300.0,2.4455460910248803,-0.12202922199571731,480070.2017047701,-159660.04076562845,0.0,0.0,0.0,98324.90269560032,970731.9458007812,1069056.8484963817,-6108808.203562368,-853.2938396834628,-6109661.497402051,1411.0,1411.0,1028008.5174314529,1844.0,3700.0,2,1.489119082783689
2026-01-07,delta_gamma,medium,True,True,True,True,executed,260.3299865722656,0.03515000104904175,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,20,0.3130888036672701,0.07479066691355414,0.014889168557727378,8.607263243069934,-12.802661664376648,-1000.0,0.0,2026-02-10|260.0|call,gamma,-1043.7554698485364,503.3205143046782,789139.8508876188,-547904.0103950032,459.91913236911734,460.0,-17527.590770383358,-17500.0,6800.0,-17500.0,27.59077038335454,0.2617964120938723,587864.0831779266,-105349.9281033664,0.0,0.0,0.0,-33304.45050611609,1770243.9086914062,1736939.4581852902,-4372722.0392167615,-609.925334387449,-4373331.964551149,1027.0,1027.0,790686.926871772,1567.0,6800.0,2,6.854497389132807
2026-01-08,delta_gamma,medium,True,True,True,True,executed,259.0400085449219,0.035069999694824217,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,19,0.20597864304122915,0.05342372872074016,0.01175015315701565,6.424637522255295,-10.068721268798118,-1000.0,0.0,2026-01-30|260.0|call,gamma,187.98239964303139,345.8720731815413,786258.7482754117,-388429.1921543635,288.9885950511049,289.0,-8746.892187461923,-8700.0,8800.0,-8700.0,46.89218746192455,0.04637203632296405,90193.937736689,-36104.1993193723,0.0,0.0,0.0,-109350.67780332624,2279552.0751953125,2170201.397391986,-2203130.567159163,-306.6023345949593,-2203437.1694937577,749.0,749.0,786792.6027482363,1460.0,8800.0,2,0.217235452518794
2026-01-09,delta_gamma,low,True,True,True,True,executed,259.3699951171875,0.03513000011444092,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,18,0.14027258902853923,0.04140362733792582,0.010488794694566643,5.104107631956826,-7.909395050322907,-1000.0,0.0,2026-02-15|260.0|call,gamma,1574.8194227985678,233.58154400679177,206663.91532400402,-218410.99815747445,315.99971310507794,316.0,-12114.152034144525,-12100.0,-3400.0,-12100.0,14.152034144522986,0.0009522736293092748,529409.954778074,-76280.29781235114,0.0,0.0,0.0,52742.99935105801,-881857.9833984375,-829114.9840473795,-3032552.153541137,-422.75221230534993,-3032974.9057534426,605.0,605.0,208472.31629080937,1289.0,3400.0,2,0.00029096257693553024
2026-01-12,delta_gamma,medium,True,True,True,True,executed,260.25,0.03532999992370606,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,15,0.1368049533518203,0.04220882540373791,0.011175040827656458,4.74872872438344,-9.148921118767387,-1000.0,0.0,2026-02-15|260.0|call,gamma,792.6410622309922,-75.91498203010428,520495.276561686,-23538.255378065165,339.0312839339165,339.0,-14138.245628243367,-14100.0,-2000.0,-14100.0,38.24562824336681,-0.10311710315045275,592942.958292701,-91841.73147572496,0.0,0.0,0.0,12179.770509061105,-520500.0,-508320.2294909389,-3541295.1352443816,-496.48395578573263,-3541791.6192001672,23.0,23.0,521363.8326059471,1316.0,2000.0,1,1.0647764242938411
2026-01-13,delta_gamma,medium,True,True,True,True,executed,261.04998779296875,0.03559999942779541,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,14,0.19055090150293985,0.05513771339610747,0.013530940579931459,5.6983588932940705,-12.401727980733451,-1000.0,0.0,2026-02-20|260.0|call,gamma,-448.26724894369545,-292.4612431729638,476860.992693846,167066.50798730412,464.93631241941426,465.0,-20774.480665737145,-20800.0,-6700.0,-20800.0,-25.51933426285541,0.1853485833578361,970711.2904538632,-146439.33115654858,0.0,0.0,0.0,94687.6675988005,-1749034.9182128906,-1654347.2506140901,-5196138.869814257,-734.0577015560835,-5196872.927515813,804.0,804.0,477601.72118596267,1339.0,6700.0,2,3.4360609716968913
2026-01-14,delta_gamma,medium,True,True,True,True,executed,259.9599914550781,0.03559999942779541,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,13,0.14501119595612266,0.04331124152541689,0.011085225683649025,4.508918895863044,-11.036228721511865,-1000.0,0.0,2026-02-13|260.0|call,gamma,-376.60263886010216,220.9879766854342,1078604.1161059327,-350392.1071096605,347.9616530347615,348.0,-14076.363716081669,-14100.0,6700.0,-14100.0,-23.636283918331173,0.12216425581482326,580606.7922564917,-87360.4694819774,0.0,0.0,0.0,-91579.32716870587,1741731.9427490234,1650152.6155803176,-3546720.3119354956,-501.0446074422778,-3547221.356542938,813.0,813.0,1079201.7067214784,1465.0,6700.0,2,1.4929692137964259
2026-01-15,delta_gamma,medium,True,True,True,True,executed,258.2099914550781,0.03565000057220459,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,12,0.045180635286786064,0.016923399141676166,0.005605096459959934,1.9661992710500462,-4.917733094368984,-1000.0,0.0,2026-02-19|260.0|call,gamma,524.1274998379613,637.5949611781687,810387.9071337257,-637826.8481466209,179.00875323580857,179.0,-6853.952777470011,-6900.0,7200.0,-6900.0,-46.047222529989085,-0.027408006679479513,373196.29988610564,-45416.42933182645,0.0,0.0,0.0,-59241.53155318671,1859111.9384765625,1799870.4069233758,-1747350.9496195621,-247.19469188007787,-1747598.1443114423,527.0,527.0,811549.6295947419,1348.0,7200.0,2,0.07724022971696569
2026-01-16,delta_gamma,medium,True,True,True,True,executed,255.52999877929688,0.035569999217987064,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,11,0.010802018089324683,0.004848659205076586,0.0019744602767083363,0.6240961407228836,-1.7006786645299923,-1000.0,0.0,2026-02-13|255.0|call,gamma,-364.22857301441763,354.8011199138644,473884.3013669199,-342244.08621432626,55.98613244677256,56.0,-2587.229766367575,-2600.0,4300.0,-2600.0,-12.770233632425061,0.04890663417185692,94460.65316771565,-15060.414567241824,0.0,0.0,0.0,-31786.260158193007,1098778.9947509766,1066992.7345927835,-680605.4097186588,-96.06799163273992,-680701.4777102915,235.0,235.0,474603.3310598482,1179.0,4300.0,2,0.23934896546901102
2026-01-20,delta_gamma,medium,True,True,True,True,executed,246.6999969482422,0.03572000026702881,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,7,0.0001232665939021882,7.512793119715719e-05,4.319406459952374e-05,0.010334535632751477,-0.05579549513403957,-1000.0,0.0,2026-02-24|250.0|call,gamma,-1020.8599918303596,143.72391244877394,118878.53889907859,-190562.95384045923,1.6872627639830025,2.0,-81.78524772010083,-100.0,2500.0,-100.0,-18.214752279899173,0.8006098791219918,5004.50215458427,-1423.5091252737484,0.0,0.0,0.0,-11306.480791104656,616749.9923706055,605443.5115795009,-75257.96613079065,-10.667518136063045,-75268.63364892671,58.0,58.0,120043.12280335772,1056.0,2500.0,2,64.09794963197365
2026-01-21,delta_gamma,medium,True,True,True,True,executed,247.64999389648438,0.03588000059127808,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,6,1.301234932542326e-06,1.2179028058150483e-06,1.094261726281992e-06,0.00018986278709894785,-0.0010031497318289961,-1000.0,0.0,2026-02-20|250.0|call,gamma,-8.200645062341138,6.075549411566008,5978.357488847485,-6035.256337667231,0.03324860019316687,0.0,0.12179028058150483,0.0,100.0,0.0,-0.12179028058150483,-0.1094261726281992,-18.986278709894783,100.3149731828996,0.0,0.0,0.0,-871.4993506905046,24764.999389648438,23893.500038957933,-51375.133609968776,-7.3148405726296435,-51382.44845054141,2.0,2.0,5992.633683321392,1002.0,100.0,1,1.1974087404385176
2026-01-22,delta_gamma,medium,True,True,True,False,solver_returned_no_trade,248.35000610351562,0.03588000059127808,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,5,2.0574171460828984e-08,2.5822485566573675e-08,3.1392830041056846e-08,4.21715589456194e-06,-2.4670803254708624e-05,-1000.0,0.0,2026-02-21|250.0|call,gamma,-0.0025822485566573674,-0.0031392830041056846,-0.421715589456194,2.4670803254708624,0.0008804259182313952,0.0,0.0025822485566573674,0.0,0.0,0.0,-0.0025822485566573674,-0.0031392830041056846,-0.421715589456194,2.4670803254708624,0.0,0.0,0.0,0.0,0.0,0.0,-51382.44845054141,-7.315882066614052,-51389.76433260802,0.0,0.0,0.427437121016957,1000.0,0.0,0,0.0009855097846546885
2026-01-23,delta_gamma,medium,True,True,True,False,solver_returned_no_trade,248.0399932861328,0.03582000017166138,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,4,6.562950627541969e-10,9.784054787994432e-10,1.4198887691933e-09,1.5649134118795885e-07,-1.1745843838736335e-06,-1000.0,0.0,2026-02-22|250.0|call,gamma,-9.784054787994432e-05,-0.00014198887691933,-0.015649134118795885,0.11745843838736335,4.101000845164473e-05,0.0,9.784054787994432e-05,0.0,0.0,0.0,-9.784054787994432e-05,-0.00014198887691933,-0.015649134118795885,0.11745843838736335,0.0,0.0,0.0,0.0,0.0,0.0,-51389.76433260802,-7.304687965141496,-51397.069020573166,0.0,0.0,0.01588896354359516,1000.0,0.0,0,2.0160841264540366e-06
2026-01-26,delta_gamma,medium,True,True,True,False,solver_returned_no_trade,255.41000366210938,0.03575000047683716,1,False,False,False,2026-01-27|275.0|call,2026-01-27,275.0,1,0.0,0.0,6.642548201410837e-18,1.923065295317948e-16,-5.685036704105571e-15,-1000.0,0.0,2026-02-22|255.0|call,gamma,0.0,-6.642548201410837e-13,-1.923065295317948e-11,5.685036704105571e-10,1.8787722214581066e-13,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.642548201410837e-13,-1.923065295317948e-11,5.685036704105571e-10,0.0,0.0,0.0,0.0,-0.0,0.0,-51397.069020573166,-7.29144937299017,-51404.36046994616,0.0,0.0,1.9894907773320564e-11,1000.0,0.0,0,4.412344660806634e-23
2026-01-27,delta_gamma,medium,True,True,True,True,executed,258.2699890136719,0.03569999933242798,2,True,True,True,2026-02-26|260.0|call,2026-02-26,260.0,30,4.328717603809082,0.4739181862198163,0.032805081854828194,29.464842402199118,-32.96827488387735,-1000.0,-1000.0,2026-02-25|260.0|call,gamma,-47391.81862198163,-3280.5081854828195,-2946484.2402199116,3296827.488387735,983.0473418964217,983.0,952.5548111822791,1000.0,1000.0,1000.0,47.44518881772092,-0.15798372276549344,-99451.24782492686,9369.171572451014,-432871.7603809082,0.0,0.0,416389.3132691324,258269.98901367188,241787.54190189607,190383.1814319499,26.970950198516373,190410.1523821484,983.0,983.0,2997156.567027376,1000.0,1000.0,1,2.498136711826378
2026-01-28,delta_gamma,medium,True,True,True,True,executed,256.44000244140625,0.03582000017166138,2,False,False,False,2026-02-26|260.0|call,2026-02-26,260.0,29,3.4378557154350347,0.41200361099492494,0.0327987278262933,28.1239658518952,-32.17898390028805,-1000.0,0.0,2026-03-02|260.0|call,gamma,43.85961305824458,-2.312785271229586,-99958.60183576029,11353.97721192753,1063.012558285095,1063.0,-3592.283661875488,-3600.0,-4600.0,-3600.0,-7.716338124511822,-0.03874796883565068,392697.0404589819,-34997.437718307134,0.0,0.0,0.0,73710.10954504,-1179624.0112304688,-1105913.9016854288,-915503.7493032804,-130.1323192746037,-915633.881622555,2046.0,2046.0,100004.77423408977,1983.0,4600.0,2,0.15020005076290743
2026-01-29,delta_gamma,medium,True,True,True,True,executed,258.2799987792969,0.035799999237060544,2,False,False,False,2026-02-26|260.0|call,2026-02-26,260.0,28,4.2983303871240395,0.4727450054719307,0.03290940832830545,28.461988914082596,-34.95905466015777,-1000.0,0.0,2026-03-09|260.0|call,gamma,-14.439967809346854,-20.929464297052164,390861.51066934783,-15715.77829178283,1182.986558985417,1183.0,-10306.364590128003,-10300.0,-6700.0,-10300.0,6.364590128003329,0.03739145080680828,1134035.3951283111,-100076.47226553597,0.0,0.0,0.0,129528.86923394987,-1730475.991821289,-1600947.1225873393,-2516581.004209894,-357.5142778996638,-2516938.518487794,2246.0,2246.0,390896.8801014542,2063.0,6700.0,2,0.1398525673512938
2026-01-30,delta_gamma,medium,True,True,True,True,executed,259.4800109863281,0.03572000026702881,2,False,False,False,2026-02-26|260.0|call,2026-02-26,260.0,27,4.939546164842469,0.5115413599826518,0.03240607846168087,28.132024837206252,-37.044482411870064,-1000.0,0.0,2026-03-08|260.0|call,gamma,-4.748997353191953,-25.215382549168226,1131258.6771914102,-75342.59400050016,1175.975894693157,1176.0,-9857.413417934666,-9900.0,400.0,-9900.0,-42.58658206533437,0.0664264011211344,1056335.5172407492,-96169.87978341943,0.0,0.0,0.0,-14781.608509235084,103792.00439453125,89010.39588529617,-2427928.1226024977,-344.1491793162221,-2428272.271781814,2359.0,2359.0,1131288.6415713127,2183.0,400.0,2,0.443060293562592
2026-02-02,delta_gamma,medium,True,True,True,True,executed,270.010009765625,0.03578000068664551,2,False,False,False,2026-02-26|260.0|call,2026-02-26,260.0,24,11.572422797686272,0.8318744988996389,0.021983125345384893,17.37244802399939,-28.276976301877298,-1000.0,0.0,2026-03-08|270.0|call,gamma,562.1217105856049,238.29463027194697,1001303.6230908395,-331412.932833245,746.0269665012834,746.0,43435.030179668225,43400.0,53300.0,43400.0,-35.03017966822517,-0.07946200398328074,705731.2093331264,366851.759841267,0.0,0.0,0.0,-1020965.0092214937,14391533.520507812,13370568.511286318,10942296.239504505,1553.632408583134,10943849.871913088,1922.0,1922.0,1002104.039431697,2176.0,53300.0,2,0.6326481211914805
2026-02-03,delta_gamma,medium,True,True,True,True,executed,269.4800109863281,0.03589999914169312,2,False,False,False,2026-02-26|260.0|call,2026-02-26,260.0,23,11.356652576349347,0.8026206489642366,0.02260759331371732,18.767873576187657,-33.29177004159131,-1000.0,0.0,2026-02-27|270.0|call,gamma,1702.2139172689422,-226.51563358907333,531379.9655111383,622670.2993094102,704.0158923483866,704.0,44363.55394294505,44400.0,1000.0,44400.0,36.44605705494905,-0.05103403957627961,62699.147761250846,393024.25551776774,0.0,0.0,0.0,-93606.49862668186,269480.0109863281,175873.51235964627,11119723.384272736,1584.1192855208576,11121307.503558256,1450.0,1450.0,533308.6950619963,1746.0,1000.0,2,0.26177563462217995
2026-02-04,delta_gamma,medium,True,True,True,True,executed,276.489990234375,0.0359500002861023,2,False,False,False,2026-02-26|260.0|call,2026-02-26,260.0,22,17.462972170579633,0.9170247668935405,0.011864654645617787,10.344159998022086,-23.45581589027653,-1000.0,0.0,2026-03-06|280.0|call,gamma,3075.6855505958374,650.0303401753642,621630.1113827099,-521590.8190255868,447.0202344006557,447.0,72217.94169991485,72200.0,27800.0,72200.0,-17.941699914856144,-0.053705438202769074,360374.67825184774,598731.4369572967,0.0,0.0,0.0,-451737.4728375926,7686421.728515625,7234684.2556780325,18355991.759236287,2618.642496016809,18358610.401732303,1151.0,1151.0,625355.8272734812,1704.0,27800.0,2,0.2887493138509795
